# Rank Format
# ZCZC WEEK# NAME
# TOP 10 Rank

ZCZC W02 ariiesaka
ZCZC W02 athaqilmakarim
ZCZC W02 ardhanidzaky
ZCZC W03 Bimabara
ZCZC W03 chrisbagas
ZCZC W03 Chreploe
ZCZC W04 deyuna
ZCZC W04 determinedguy
ZCZC W04 dhekmass12
ZCZC W05 Dimasichsanul
ZCZC W05 dimas-id
ZCZC W05 elfaraera
ZCZC W06 ErickEzrandy274
ZCZC W06 ezekielnicholas
ZCZC W06 Fael31
ZCZC W07 ferdifdi
ZCZC W07 firlandiansyari
ZCZC W07 fikriazain
ZCZC W09 huanis
ZCZC W09 ilhanfn
ZCZC W09 indiradr
ZCZC W10 stephanusdario
ZCZC W10 taufiqulmawarid
ZCZC W10 valordra
